time,command,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8
0.01,0.0,-4.305353927978848e-06,-0.0016886635451667524,-5.250502512702594e-06,-0.007288496748316189,5.083466079361864e-06,0.020814767879676784,-0.007258914795304792,7.152614772724281e-06,-7.152614772676745e-06,-0.000570840243308558,-0.13977395171019352,-0.0007585692068547647,-0.8611217456797626,-0.0019508154915727758,3.5403138717232,-1.3111205488695985,-0.0014613772806180625,0.0014613772806218342
0.020000000000000004,0.05226423163382673,0.004662762290471427,-0.0026477183397567053,-0.00015044092905115846,-0.017534114943209764,-0.00010647168706365234,0.0664684389676713,-0.02577154729314477,1.2906088666128592e-05,5.2891976141216536e-06,0.7999581556461565,-0.06745055137120468,-0.06248551248708285,-1.1300586911046846,-0.041053531645839046,4.948166150096557,-2.0720186537599923,0.004370457568757757,-0.0016676258214084801
0.030000000000000013,0.10395584540887966,0.014117979909295256,-0.002738988832240235,-0.0001952500013250052,-0.02896555003616026,-0.00015492357333401268,0.11505518899642672,-0.04676485650264265,1.8611701024000868e-05,1.9082025014684366e-05,0.9196604398116695,0.027357528675219463,0.004699283833873308,-1.1114904601703406,0.003802582912185574,4.635042100034181,-2.0075728887735917,0.0016011492704677164,-8.352738038146153e-05
0.04000000000000002,0.1545084971874737,0.027636167411093343,-0.0020400411883918926,-0.0003210075736094449,-0.038975036580975925,-0.00025574538908245347,0.15518818702616516,-0.06338374677855439,3.011498852098616e-05,1.7938381904201937e-05,1.6558484382438807,0.0910012096877136,-0.06338042336620733,-0.91395404522244,-0.04359107805969733,3.580002124228296,-1.3692728194678199,0.004026526898797612,-0.0032659587132860867
0.05000000000000003,0.20336832153790008,0.04447499478920473,-0.0010157081894820845,-0.0003345747997366093,-0.04659371299827056,-0.0002885458726393879,0.18474759792328702,-0.07240027340045455,3.0435537543294926e-05,2.218372082585353e-05,1.6252737953221905,0.10415952901452245,0.006551523619013203,-0.6595379124419066,0.004673592544703034,2.5471020734793073,-0.5855511635198589,0.0007805672881474317,-0.000496751188433802
0.06000000000000004,0.24999999999999997,0.0644219413905248,-1.5692240733740842e-05,-0.0004513399585187366,-0.051933009690370395,0.0007442734618278654,0.20425833571182062,-0.07342109942497285,3.322568413278124e-05,2.0352187501018686e-05,2.3033238447093836,0.0946714201795273,-0.054024148112715,-0.45299700925915326,-0.061335697870021966,1.5490179465291538,0.29430965612397286,0.0016830312476831429,-0.0016930052589623555
0.07000000000000005,0.29389262614623657,0.08648623334424935,0.0006874518481417282,-0.0004113179591973347,-0.05585299646780722,0.0006468428311107351,0.21410980156160553,-0.0668096309818857,3.247892882197563e-05,1.98740838536281e-05,2.121780264617843,0.05302380906646324,0.008637998771097891,-0.36861940263350723,-0.003924244400655256,0.6336470373176022,0.6784054503639847,0.0004866193758835724,-0.0006714943040114972
0.08000000000000006,0.3345653031794291,0.11118897627197927,0.001134181666958493,-0.0005189007839806481,-0.059241667083234466,0.0016172541584557358,0.2147323126596309,-0.06037920943826524,3.180969195894551e-05,1.805795316859561e-05,2.7664816408603463,0.039913227802707445,-0.05390103495329465,-0.3173715925233156,-0.06979591962125598,-0.30893853580123143,0.6192727818970466,0.0015034184760930754,-0.0017862756966785308
0.09000000000000007,0.37157241273869707,0.13630772559122323,0.0014525846538334239,-0.0004211560275470485,-0.06205923778668151,0.001479806819403546,0.20698146659760458,-0.05457479055122574,3.457635627520165e-05,1.2138854687710806e-05,2.407788434821383,0.02553781878051123,0.010597208807456874,-0.2586787092049276,-0.010508576499282623,-0.8658821408397595,0.5616265383963932,-5.379428006816253e-05,-0.0002778986020297212
0.10000000000000007,0.4045084971874737,0.16378940069414524,0.0016722114873017908,-0.0005245550284035496,-0.0643528994405597,0.002390515764732705,0.2018541561820895,-0.04926423030258658,2.865226252273917e-05,1.4619153860980187e-05,3.0387217382784875,0.01965080545958304,-0.05393537095319305,-0.20911177131278064,-0.07519892103999859,-0.3229656650065745,0.5077361355789869,0.001199607791549396,-0.001549249414166451
0.11000000000000008,0.4330127018922193,0.18868906105513128,0.001788750905276582,-0.0003107539498865417,-0.06614041932052034,0.002267522322785373,0.2002307017276452,-0.04454693550527731,1.5795623318224943e-05,2.3973721089639526e-05,2.123793037051282,0.006910974993424102,0.0772370003767469,-0.15945447491523446,0.027870234238331917,-0.08653031476996682,0.44873499656172783,-0.004225742886205783,0.0038770917630991638
0.12000000000000009,0.45677272882130043,0.2140411103744774,0.001889583441054553,-0.0003904309548422541,-0.06751844340702928,0.001971125530455101,0.1998088389848217,-0.04029082243477558,2.1990936507165787e-05,1.4358620600038932e-05,2.8099341085801424,0.012263727796604475,-0.06488308456288307,-0.12415754219795319,-0.06806530353435676,-0.022864520008635154,0.40692401774150694,0.0038579028425099584,-0.00419431347343168
0.1300000000000001,0.47552825814757677,0.2367237378706066,0.0019511174353185241,-0.00019322923546670552,-0.06853174043038321,0.001890389001699407,0.19966767886462025,-0.03653730027340443,1.232923012228958e-05,2.076411137997336e-05,1.9084019258711582,0.00209383244309249,0.07620698855375486,-0.08693600932585677,0.03190401971302405,-0.015019381235184454,0.3575076248971917,-0.004198585041019867,0.003880751093653095
0.1400000000000001,0.48907380036690284,0.2599916270695362,0.002006408191925038,-0.0002853179542913439,-0.06925602102061455,0.001631145621055771,0.19934941658274977,-0.0331114215791753,1.892668839399441e-05,1.1116938967194628e-05,2.6062642492039894,0.007908742712684273,-0.06620463567137132,-0.063223593592492,-0.06451734653558111,-0.0435335818186688,0.333012745456922,0.0039132958009494056,-0.004209428731055305
0.1500000000000001,0.49726094768413664,0.28071606714302366,0.0020295173963518877,-9.897477399896132e-05,-0.06970673782541624,0.0015834243478988436,0.19884144260788428,-0.03001451676517089,9.385391848451189e-06,1.7833757971146917e-05,1.7173577287380577,-0.0015147596388067498,0.07523628615981211,-0.033632024537403146,0.035046439104085864,-0.054597415696364116,0.29447647981561226,-0.0042119789709338185,0.00393871037846428
0.16000000000000011,0.5,0.3021279506935987,0.0020733024774269313,-0.00020178025164992652,-0.06985136689034782,0.001352545381913721,0.19818968178108307,-0.027187818130889874,1.6259819211184933e-05,8.36367233533374e-06,2.4241055136989935,0.007575385654357716,-0.06729377314977254,-0.0017837980198751977,-0.06179671183643491,-0.07129899853277258,0.27504599673492586,0.0039505889461648154,-0.004201088386700253
0.17000000000000012,0.4972609476841367,0.32109114568074687,0.0020542158368166853,-2.4582553396788453e-05,-0.06983852474885033,0.0013318983963718713,0.19750128814732218,-0.024637170329746057,6.802593612727019e-06,1.5448580881280778e-05,1.5452060351096242,-0.0074719777876930266,0.0743846130249275,0.0027158107629190785,0.03769370118677448,-0.06620058611091484,0.24213095143988964,-0.004216922947097304,0.0039883946646519
