time,target_qpos_0,current_qpos_0,error_0,ctrl_0,target_qpos_1,current_qpos_1,error_1,ctrl_1,target_qpos_2,current_qpos_2,error_2,ctrl_2,target_qpos_3,current_qpos_3,error_3,ctrl_3,target_qpos_4,current_qpos_4,error_4,ctrl_4,target_qpos_5,current_qpos_5,error_5,ctrl_5,target_qpos_6,current_qpos_6,error_6,ctrl_6,mean_abs_error
0.21000000000000016,0.24999229703629827,0.01383039739464955,0.23616189964164871,0.5,-0.19836746749036882,-0.007696985247807099,-0.19067048224256172,-0.4,0.19998988434243103,0.018803596323228634,0.1811862880192024,0.4,-0.21972806939956546,-0.08978978699880816,-0.1299382824007573,-0.3,0.09996446528413826,-0.006459118269370164,0.10642358355350842,0.2,0.29560832808700255,0.19637470825420264,0.09923361983279991,0.19999999999999996,-0.11834936928887,-0.019053869665483742,-0.09929549962338625,-0.2,0.15714285714285717
0.22000000000000017,0.24999229703629827,0.05393758188247886,0.19605471515381942,0.47232379928329743,-0.19836746749036882,-0.01754315564933781,-0.180824311841031,-0.38134096448512345,0.19998988434243103,0.04817679913071575,0.15181308521171527,0.3623725760384048,-0.21972806939956546,-0.10698022873719173,-0.11274784066237373,-0.2598765648015146,0.09996446528413826,-0.018552436355030535,0.1185169016391688,0.21284716710701684,0.29560832808700255,0.19719786611120602,0.09841046197579653,0.19846723966559982,-0.11834936928887,-0.021198778092613696,-0.0971505911962563,-0.1985909992467725,0.14898709361626641
0.23000000000000018,0.24999229703629827,0.08666354608542536,0.1633287509508729,0.39210943030763884,-0.19836746749036882,-0.027611650891545644,-0.17075581659882316,-0.361648623682062,0.19998988434243103,0.07293062463627545,0.1270592597061556,0.30362617042343054,-0.21972806939956546,-0.11922386230132308,-0.10050420709824238,-0.22549568132474745,0.09996446528413826,-0.019031282963896737,0.118995748248035,0.2370338032783376,0.29560832808700255,0.19861965371893936,0.09698867436806319,0.19682092395159306,-0.11834936928887,-0.024827057830678054,-0.09352231145819194,-0.1943011823925126,0.13650255824002303
0.24000000000000019,0.24999229703629827,0.10885376646715736,0.1411385305691409,0.3266575019017458,-0.19836746749036882,-0.038682155836270105,-0.15968531165409872,-0.3415116331976463,0.19998988434243103,0.09003792994059996,0.10995195440183107,0.2541185194123112,-0.21972806939956546,-0.12773089102870586,-0.0919971783708596,-0.20100841419648477,0.09996446528413826,-0.006249103926285424,0.10621356921042369,0.23799149649607,0.29560832808700255,0.20043333095861895,0.09517499712838359,0.19397734873612638,-0.11834936928887,-0.02973482345408778,-0.08861454583478222,-0.18704462291638388,0.12445068120405488
0.25000000000000017,0.24999229703629827,0.12529222128480924,0.12470007575148903,0.2822770611382818,-0.19836746749036882,-0.05121960435143592,-0.1471478631389329,-0.31937062330819743,0.19998988434243103,0.10308178794328385,0.09690809639914719,0.21990390880366215,-0.21972806939956546,-0.13359511425280993,-0.08613295514675554,-0.1839943567417192,0.09996446528413826,0.013827289032856812,0.08613717625128145,0.21242713842084737,0.29560832808700255,0.20234475854041467,0.09326356954658788,0.19034999425676719,-0.11834936928887,-0.035499947930074265,-0.08284942135879572,-0.17722909166956444,0.11325372673850284
0.2600000000000002,0.24999229703629827,0.13740367243393573,0.11258862460236255,0.24940015150297806,-0.19836746749036882,-0.06612423930501513,-0.1322432281853537,-0.2942957262778658,0.19998988434243103,0.1120391526185138,0.08795073172391724,0.19381619279829437,-0.21972806939956546,-0.13834031385995993,-0.08138775553960553,-0.17226591029351107,0.09996446528413826,0.030666348635195403,0.06929811664894285,0.1722743525025629,0.29560832808700255,0.2046452844821389,0.09096304360486365,0.18652713909317575,-0.11834936928887,-0.04217155408345536,-0.07617781520541464,-0.16569884271759144,0.10244845108471282
0.2700000000000002,0.24999229703629827,0.1459616395756872,0.10403065746061108,0.2251772492047251,-0.19836746749036882,-0.08321756150159623,-0.11514990598877259,-0.2644864563707074,0.19998988434243103,0.11679330840905194,0.08319657593337909,0.17590146344783447,-0.21972806939956546,-0.14156615670946437,-0.07816191269010109,-0.16277551107921107,0.09996446528413826,0.04333319602951347,0.056631269254624785,0.1385962332978857,0.29560832808700255,0.2072851201658926,0.08832320792110995,0.1819260872097273,-0.11834936928887,-0.04949491928739376,-0.06885445000147623,-0.15235563041082928,0.09294418793006574
0.2800000000000002,0.24999229703629827,0.14923049495786345,0.10076180207843483,0.20806131492122215,-0.19836746749036882,-0.09863269542197119,-0.09973477206839763,-0.23029981197754518,0.19998988434243103,0.12328211279722195,0.07670777154520908,0.16639315186675818,-0.21972806939956546,-0.14227109919274783,-0.07745697020681763,-0.15632382538020217,0.09996446528413826,0.051886423422195564,0.04807804186194269,0.11326253850924957,0.29560832808700255,0.20982502662567712,0.08578330146132543,0.1766464158422199,-0.11834936928887,-0.05686054096045505,-0.06148882832841494,-0.13770890000295247,0.08490685417858213
0.2900000000000002,0.24999229703629827,0.15583178997369543,0.09416050706260284,0.20152360415686965,-0.19836746749036882,-0.11131708153522682,-0.087050385955142,-0.19946954413679527,0.19998988434243103,0.12638729094317508,0.07360259339925596,0.15341554309041816,-0.21972806939956546,-0.14247566024187855,-0.07725240915768691,-0.15491394041363526,0.09996446528413826,0.057588487554287436,0.04237597772985082,0.09615608372388539,0.29560832808700255,0.2113663520074273,0.08424197607957526,0.17156660292265086,-0.11834936928887,-0.062101238370048634,-0.05624813091882136,-0.12297765665682989,0.07857306965007747
0.3000000000000002,0.24999229703629827,0.15912336412400324,0.09086893291229503,0.1883210141252057,-0.19836746749036882,-0.12127034468528869,-0.07709712280508013,-0.174100771910284,0.19998988434243103,0.12862237494394432,0.07136750939848671,0.1472051867985119,-0.21972806939956546,-0.142586299563835,-0.07714176983573046,-0.15450481831537383,0.09996446528413826,0.06057674371381439,0.039387721570323865,0.08475195545970164,0.29560832808700255,0.21161469298687435,0.0839936351001282,0.16848395215915052,-0.11834936928887,-0.06680699016615624,-0.051542379122713755,-0.11249626183764272,0.07356171147184787
