iteration,distance,ee_x,ee_y,ee_z,target_x,target_y,target_z,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9
24,0.5184893805511326,0.4685806486614475,-4.6764700961713e-17,0.7075365321460523,0.5,0.0,0.19,-3.614599846629879e-16,0.7200000000000004,2.810878496280238e-16,-0.0698,-1.3243592647086408e-16,-0.0175,-5.760983549362171e-18,0.0,0.0,0.5
25,0.503725773045517,0.47960421380950113,-3.689662066386525e-17,0.693312692405005,0.5,0.0,0.19,-3.76016572131699e-16,0.7500000000000004,2.36285042539847e-16,-0.0698,-8.147302609214898e-17,-0.0175,-1.4124832842792814e-17,0.0,0.0,0.5
26,0.48886291023663164,0.4901961675374398,-6.770583280266195e-17,0.678764595561171,0.5,0.0,0.19,-3.9089561909605647e-16,0.7800000000000005,2.0910580172976558e-16,-0.0698,-2.0566724677917773e-17,-0.0175,-1.4124832842792953e-17,0.0,0.0,0.5
27,0.473905460942556,0.5003469778018432,-7.401519032335651e-17,0.6639053339197413,0.5,0.0,0.19,-3.8901043259283084e-16,0.8100000000000005,1.8327625731730615e-16,-0.0698,7.812929277031968e-18,-0.0175,-7.463313729495835e-18,0.0,0.0,0.5
28,0.45885829695007485,0.5100475095586328,-2.7071582042312774e-16,0.6487482798132242,0.5,0.0,0.19,-4.3395573661107365e-16,0.8400000000000005,1.5644749508062084e-16,-0.0698,3.8389915737646295e-17,-0.0175,-7.46331372949594e-18,0.0,0.0,0.5
29,0.44372652418827974,0.5192890329839936,-1.0139553617696019e-16,0.6333070735672446,0.5,0.0,0.19,-3.475893784372526e-16,0.8700000000000006,1.0322387608881486e-16,-0.0698,3.957694583647795e-17,-0.0175,-7.463313729496485e-18,0.0,0.0,0.5
30,0.42851552094614537,0.5280632313306269,-2.3118411544581216e-16,0.6175956112251739,0.5,0.0,0.19,-4.053796203841948e-16,0.9000000000000006,8.513655244133095e-17,-0.0698,3.044448852473651e-17,-0.0175,-7.463313729496662e-18,0.0,0.0,0.5
31,0.4132309849997984,0.5363622084122618,-2.5629454546885656e-16,0.601628032042628,0.5,0.0,0.19,-3.59581170070808e-16,0.9300000000000006,5.860809782483862e-17,-0.0698,3.6558081064221485e-17,-0.0175,-8.518654272179846e-18,0.0,0.0,0.5
32,0.39787899209499544,0.5441784957096885,-1.043501921278636e-16,0.5854187057630917,0.5,0.0,0.19,-3.126401971960958e-16,0.9600000000000006,2.5939506681855935e-17,-0.0698,4.252157375201559e-18,-0.0175,-8.518654272180349e-18,0.0,0.0,0.5
33,0.38246606901826113,0.551505059091923,-2.566176251021181e-16,0.5689822196861204,0.5,0.0,0.19,-4.130312941947414e-16,0.9900000000000007,2.5034504897470848e-17,-0.0698,4.3864195044497076e-18,-0.0175,-4.615601598265777e-18,0.0,0.0,0.5
34,0.3669992855713673,0.5583353051464491,-1.1194649900891725e-16,0.5523333655397535,0.5,0.0,0.19,-3.1542563050373613e-16,1.0200000000000007,1.130341909475436e-17,-0.0698,-1.7804601325902863e-17,-0.0175,-4.615601598266144e-18,0.0,0.0,0.5
35,0.35148637126274146,0.5646630871128463,-2.2522789698791656e-16,0.535487126168959,0.5,0.0,0.19,-4.0536735280673224e-16,1.0500000000000007,-4.1259731223304574e-18,-0.0698,-3.043056947907478e-17,-0.0175,-1.1014233911250803e-17,0.0,0.0,0.5
36,0.33593586462956376,0.5704827104144569,-2.5701226551731496e-16,0.5184586620520829,0.5,0.0,0.19,-3.7282659495610034e-16,1.0800000000000007,3.90707294935726e-17,-0.0698,-1.3291501004585906e-17,-0.0175,-1.1014233911251291e-17,0.0,0.0,0.5
37,0.3203573060800719,0.575788937783122,-2.6837398994341445e-16,0.5012632976574446,0.5,0.0,0.19,-3.18975090583481e-16,1.1100000000000008,1.0815757447856752e-17,-0.0698,-3.713383725775531e-17,-0.0175,-1.1515268345687584e-17,0.0,0.0,0.5
38,0.30476148941126885,0.5805769939723697,-6.336454764024388e-17,0.4839165076523461,0.5,0.0,0.19,-2.7342497719454946e-16,1.1400000000000008,5.3573350307104267e-17,-0.0698,-6.637193509182381e-18,-0.0175,-9.30747946183654e-18,0.0,0.0,0.5
39,0.28916079334612244,0.5848425700548137,-3.151406236532104e-16,0.46643390297691956,0.5,0.0,0.19,-3.667695564814923e-16,1.1700000000000008,2.496241152730036e-17,-0.0698,-3.54932922992926e-17,-0.0175,-7.37620134082568e-18,0.0,0.0,0.5
40,0.2735696235248733,0.5885818272998978,-2.734992253041573e-16,0.44883121679533167,0.5,0.0,0.19,-2.9611299465364864e-16,1.2000000000000008,8.773551419325381e-17,-0.0698,-4.829720337990137e-17,-0.0175,-7.376201340826154e-18,0.0,0.0,0.5
41,0.2580050089046001,0.5917914006284931,-5.690272685620886e-17,0.4311242903370008,0.5,0.0,0.19,-2.0897997169973458e-16,1.2300000000000009,1.3324753111833036e-16,-0.0698,-4.6560083149278744e-17,-0.0175,-8.648846579435211e-18,0.0,0.0,0.5
42,0.24248741687338962,0.5944684016412443,-2.4093610947867125e-16,0.4133290586405576,0.5,0.0,0.19,-3.4578201529559023e-16,1.260000000000001,9.185364027904612e-17,-0.0698,-8.911712336205276e-17,-0.0175,-6.215810266140742e-18,0.0,0.0,0.5
43,0.22704188237210934,0.5966104212179314,-2.893149106163332e-16,0.3954615362133862,0.5,0.0,0.19,-3.130667330128708e-16,1.290000000000001,7.723354718668653e-17,-0.0698,-1.167154006068285e-16,-0.0175,-7.380004681669546e-18,0.0,0.0,0.5
44,0.21169959394310586,0.5982155316855178,-3.2507851457256485e-17,0.3775378026196504,0.5,0.0,0.19,-2.3068865348675244e-16,1.320000000000001,1.1892125490347102e-16,-0.0698,-2.5584869215744587e-18,-0.0175,-7.380004681669746e-18,0.0,0.0,0.5
45,0.19650015325653863,0.5992822885529242,-2.777248990778994e-16,0.35957398800976836,0.5,0.0,0.19,-3.1722335085350026e-16,1.350000000000001,1.0700814996595073e-16,-0.0698,7.63714250085257e-18,-0.0175,-7.38000468166976e-18,0.0,0.0,0.5
46,0.181494838388999,0.5998097318109741,-7.236914161203004e-17,0.34158625860436787,0.5,0.0,0.19,-2.2207752755439645e-16,1.380000000000001,1.2503441256153278e-16,-0.0698,4.6581391291365314e-17,-0.0175,-6.8874647177807255e-18,0.0,0.0,0.5
47,0.16675137429517675,0.5997973867963365,-1.4063142424108223e-16,0.32359080214577846,0.5,0.0,0.19,-2.701655744381487e-16,1.410000000000001,1.0771829298077637e-16,-0.0698,5.621150253405163e-17,-0.0175,-6.887464717780787e-18,0.0,0.0,0.5
48,0.1523609668048463,0.5992452646186907,-1.4190994795331042e-16,0.30560381333015596,0.5,0.0,0.19,-2.6031052606048567e-16,1.440000000000001,1.1707623426330662e-16,-0.0698,5.631344079315951e-17,-0.0175,-6.887464717780964e-18,0.0,0.0,0.5
49,0.1384486876860203,0.5981538621507305,-1.5504192567660425e-16,0.2876414792333493,0.5,0.0,0.19,-2.593245664263027e-16,1.470000000000001,1.110852833509322e-16,-0.0698,8.577148622773877e-17,-0.0175,-6.887464717781148e-18,0.0,0.0,0.5
50,0.1251886039048338,0.5965241615810087,-7.435876250609103e-17,0.2697199647436242,0.5,0.0,0.19,-2.2762463416696756e-16,1.500000000000001,1.0790330664790041e-16,-0.0698,9.834595116606222e-17,-0.0175,-6.917611867709353e-18,0.0,0.0,0.5
51,0.11282487542223207,0.5943576295300375,-1.4118890258128682e-16,0.25185539801435597,0.5,0.0,0.19,-2.839513096079094e-16,1.5300000000000011,8.848395981313426e-17,-0.0698,7.680383393233445e-17,-0.0175,-6.881569240280912e-18,0.0,0.0,0.5
52,0.10169801022234931,0.5916562157304253,-1.445280072852464e-16,0.23406385594977827,0.5,0.0,0.19,-2.5061345937465627e-16,1.5600000000000012,9.374487376341696e-17,-0.0698,8.64835132525578e-17,-0.0175,-6.639891319242435e-18,0.0,0.0,0.5
53,0.09226826629162611,0.5884223512722523,-1.740838933053333e-16,0.21636134973685628,0.5,0.0,0.19,-2.4048135134848876e-16,1.5900000000000012,8.962443787336509e-17,-0.0698,1.2045401169574308e-16,-0.0175,-6.639891319242567e-18,0.0,0.0,0.5
54,0.08511134813586109,0.5846589464152512,-3.7220836632871885e-17,0.19876381043629848,0.5,0.0,0.19,-2.095074954880486e-16,1.6200000000000012,9.533409421619041e-17,-0.0698,9.62045503444836e-17,-0.0175,-6.578283765668826e-18,0.0,0.0,0.5
55,0.08084029682569023,0.5803693879697718,-2.405928596429463e-16,0.18128707464567695,0.5,0.0,0.19,-2.607403483863526e-16,1.6500000000000012,8.953693577663246e-17,-0.0698,6.766941391273836e-17,-0.0175,-7.105670444619685e-18,0.0,0.0,0.5
56,0.07992313090650266,0.5755575362488776,-4.627700011169131e-17,0.1639468702475594,0.5,0.0,0.19,-1.5523892863562042e-16,1.6800000000000013,1.0832192771113113e-16,-0.0698,6.565723862218123e-17,-0.0175,-7.105670444619834e-18,0.0,0.0,0.5
57,0.08247262614171808,0.5702277215943281,-5.575893008619179e-17,0.1467588022554747,0.5,0.0,0.19,-2.0938310440870497e-16,1.7100000000000013,1.0363870065646256e-16,-0.0698,6.391851655016967e-17,-0.0175,-7.818751330122798e-18,0.0,0.0,0.5
58,0.0881865217636147,0.5643847404795597,-5.813794933905004e-17,0.1297383387704567,0.5,0.0,0.19,-2.18274770904364e-16,1.7400000000000013,9.305647408076434e-17,-0.0698,5.56434236590881e-17,-0.0175,-7.128640761735411e-18,0.0,0.0,0.5
59,0.09430113242559483,0.5596040875875166,-5.96134610010577e-17,0.11692431102200111,0.5,0.0,0.19,-2.4425997844614907e-16,1.7628,8.12987273588011e-17,-0.0698,7.681537026393075e-17,-0.0175,-7.128640761735457e-18,0.0,0.0,0.5
60,0.09430113242559482,0.5596040875875166,-2.4997524851094555e-16,0.11692431102200113,0.5,0.0,0.19,-2.587287381985497e-16,1.7628,7.225799699365207e-17,-0.0698,5.774234372925481e-17,-0.0175,-6.1421375207734964e-18,0.0,0.0,0.5
61,0.09430113242559483,0.5596040875875166,-7.557539524496584e-17,0.11692431102200111,0.5,0.0,0.19,-1.4860690849426705e-16,1.7628,9.289848078239618e-17,-0.0698,5.886106501279832e-17,-0.0175,-6.8244106443284705e-18,0.0,0.0,0.5
62,0.09430113242559483,0.5596040875875166,-7.605798354729631e-17,0.11692431102200111,0.5,0.0,0.19,-1.5164482725077242e-16,1.7628,8.70489256026328e-17,-0.0698,4.332603642758943e-17,-0.0175,-7.506683767883275e-18,0.0,0.0,0.5
63,0.09430113242559483,0.5596040875875166,-7.657401398916304e-17,0.11692431102200111,0.5,0.0,0.19,-1.5432394618906995e-16,1.7628,8.079401115576342e-17,-0.0698,2.826618509335502e-17,-0.0175,-7.884726774030832e-18,0.0,0.0,0.5
64,0.09430113242559483,0.5596040875875166,-7.708398886272552e-17,0.11692431102200111,0.5,0.0,0.19,-1.5661305187335723e-16,1.7628,7.461249753682445e-17,-0.0698,1.3266350562536451e-17,-0.0175,-8.566999897585638e-18,0.0,0.0,0.5
65,0.09430113242559483,0.5596040875875166,-7.757244807940687e-17,0.11692431102200111,0.5,0.0,0.19,-1.5862900036551028e-16,1.7628,6.869177975886864e-17,-0.0698,-1.2714857480206064e-18,-0.0175,-9.249273021140443e-18,0.0,0.0,0.5
66,0.09430113242559483,0.5596040875875166,-7.805504848813911e-17,0.11692431102200111,0.5,0.0,0.19,-1.6026760809655893e-16,1.7628,6.284207783484127e-17,-0.0698,-1.5751255349184783e-17,-0.0175,-9.931546144695248e-18,0.0,0.0,0.5
67,0.09430113242559483,0.5596040875875166,-7.851633053194874e-17,0.11692431102200111,0.5,0.0,0.19,-1.6164576536667463e-16,1.7628,5.725078033411861e-17,-0.0698,-2.9770982092836614e-17,-0.0175,-1.0613819268250055e-17,0.0,0.0,0.5
68,0.09430113242559483,0.5596040875875166,-7.89558266676036e-17,0.11692431102200111,0.5,0.0,0.19,-1.627333597160202e-16,1.7628,5.192355444739316e-17,-0.0698,-4.363026227031761e-17,-0.0175,-1.0991862274397614e-17,0.0,0.0,0.5
69,0.09430113242559483,0.5596040875875166,-7.939055540876363e-17,0.11692431102200111,0.5,0.0,0.19,-1.6351390657673258e-16,1.7628,4.665411516060471e-17,-0.0698,-5.713806263163077e-17,-0.0175,-1.167413539795242e-17,0.0,0.0,0.5
70,0.09430113242559483,0.5596040875875166,-7.980369775232743e-17,0.11692431102200111,0.5,0.0,0.19,-1.640167401384158e-16,1.7628,4.164632917801327e-17,-0.0698,-7.048739377809145e-17,-0.0175,-1.2052178404099981e-17,0.0,0.0,0.5
71,0.09430113242559483,0.5596040875875166,-8.02122727509887e-17,0.11692431102200111,0.5,0.0,0.19,-1.6422541055006546e-16,1.7628,3.669390495181616e-17,-0.0698,-8.348722780207207e-17,-0.0175,-1.2052178404100037e-17,0.0,0.0,0.5
72,0.09430113242559483,0.5596040875875166,-8.061558686733981e-17,0.11692431102200111,0.5,0.0,0.19,-1.6409525003360825e-16,1.7628,3.18052489960451e-17,-0.0698,-9.643492116417952e-17,-0.0175,-1.2052178404100092e-17,0.0,0.0,0.5
73,0.09430113242559483,0.5596040875875166,-8.099818215987112e-17,0.11692431102200111,0.5,0.0,0.19,-1.63743252934335e-16,1.7628,2.716773029869592e-17,-0.0698,-1.0892851372717454e-16,-0.0175,-1.2052178404100149e-17,0.0,0.0,0.5
74,0.09430113242559483,0.5596040875875166,-8.137571763038274e-17,0.11692431102200111,0.5,0.0,0.19,-1.63065374340302e-16,1.7628,2.259154277734296e-17,-0.0698,-1.2137195833902495e-16,-0.0175,-1.2052178404100206e-17,0.0,0.0,0.5
75,0.09430113242559482,0.5596040875875166,-1.0353663109029121e-16,0.11692431102200113,0.5,0.0,0.19,-1.621786435833277e-16,1.7628,1.826404883548763e-17,-0.0698,-1.333633002463586e-16,-0.0175,-1.2052178404100263e-17,0.0,0.0,0.5
76,0.09430113242559482,0.5596040875875166,-1.0345762924223879e-16,0.11692431102200113,0.5,0.0,0.19,-1.4088916213270667e-16,1.7628,1.92216469936985e-17,-0.0698,-1.3765286923044112e-16,-0.0175,-1.1369905280545598e-17,0.0,0.0,0.5
77,0.09430113242559482,0.5596040875875166,-1.0337446397942683e-16,0.11692431102200113,0.5,0.0,0.19,-1.1933153294489815e-16,1.7628,2.0229710785358607e-17,-0.0698,-1.4190117456549707e-16,-0.0175,-1.0687632156990933e-17,0.0,0.0,0.5
78,0.09430113242559479,0.5596040875875166,-1.516262283535792e-17,0.11692431102200117,0.5,0.0,0.19,-9.750503154354972e-17,1.7628,2.128837655753702e-17,-0.0698,-1.4610810476620033e-16,-0.0175,-1.0005359033436268e-17,0.0,0.0,0.5
79,0.09430113242559482,0.5596040875875166,-7.669075651826472e-17,0.11692431102200113,0.5,0.0,0.19,-1.797880844636513e-16,1.7628,7.619632584227144e-18,-0.0698,-1.557423639214697e-16,-0.0175,-9.323085909881502e-18,0.0,0.0,0.5
80,0.09430113242559482,0.5596040875875166,-7.759951705230848e-17,0.11692431102200113,0.5,0.0,0.19,-2.0251951139699683e-16,1.7628,-3.3956466163033197e-18,-0.0698,-1.4374723728987487e-16,-0.0175,-9.323085909881556e-18,0.0,0.0,0.5
81,0.09430113242559482,0.5596040875875166,-7.848656139135142e-17,0.11692431102200113,0.5,0.0,0.19,-2.2496486533564555e-16,1.7628,-1.4147699210763215e-17,-0.0698,-1.3128812490252995e-16,-0.0175,-9.32308590988161e-18,0.0,0.0,0.5
82,0.09430113242559483,0.5596040875875166,-2.4716413415981324e-16,0.11692431102200111,0.5,0.0,0.19,-2.471378376070792e-16,1.7628,-2.463910191869294e-17,-0.0698,-1.1836713363580784e-16,-0.0175,-9.323085909881666e-18,0.0,0.0,0.5
83,0.09430113242559482,0.5596040875875166,-7.799812845211287e-17,0.11692431102200113,0.5,0.0,0.19,-1.5977250741833137e-16,1.7628,-8.227299947265711e-18,-0.0698,-8.83753002406707e-17,-0.0175,-9.323085909881858e-18,0.0,0.0,0.5
84,0.09430113242559482,0.5596040875875166,-7.88541248836601e-17,0.11692431102200113,0.5,0.0,0.19,-1.8133077267345596e-16,1.7628,-1.860301426905018e-17,-0.0698,-7.535971539340534e-17,-0.0175,-9.323085909881914e-18,0.0,0.0,0.5
85,0.09430113242559482,0.5596040875875166,-7.968880506669095e-17,0.11692431102200113,0.5,0.0,0.19,-2.0262872377632339e-16,1.7628,-2.872034982093928e-17,-0.0698,-6.188410866435323e-17,-0.0175,-9.323085909881971e-18,0.0,0.0,0.5
86,0.09430113242559482,0.5596040875875166,-8.050238266113516e-17,0.11692431102200113,0.5,0.0,0.19,-2.2368012164915607e-16,1.7628,-3.8581896420263134e-17,-0.0698,-4.7950597639404983e-17,-0.0175,-9.323085909882028e-18,0.0,0.0,0.5
87,0.09430113242559482,0.5596040875875166,-5.728162590547339e-17,0.11692431102200113,0.5,0.0,0.19,-2.4437843225733793e-16,1.7628,-4.8849877394157563e-17,-0.0698,-3.3542788434129994e-17,-0.0175,-9.323085909882086e-18,0.0,0.0,0.5
88,0.09430113242559482,0.5596040875875166,-2.261163270747706e-16,0.11692431102200113,0.5,0.0,0.19,-2.717210263425052e-16,1.7628,-6.124586677887959e-17,-0.0698,-2.464678108784436e-17,-0.0175,-9.627316027289371e-18,0.0,0.0,0.5
89,0.09430113242559482,0.5596040875875166,-5.739371961821797e-17,0.11692431102200113,0.5,0.0,0.19,-2.0433749538053412e-16,1.7628,-5.020858906378916e-17,-0.0698,-1.2635189852554265e-18,-0.0175,-9.627316027289564e-18,0.0,0.0,0.5
90,0.09430113242559482,0.5596040875875166,-5.840516924477196e-17,0.11692431102200113,0.5,0.0,0.19,-2.3095748960704833e-16,1.7628,-6.24685845371706e-17,-0.0698,7.743684924785853e-18,-0.0175,-9.931546144696849e-18,0.0,0.0,0.5
91,0.09430113242559482,0.5596040875875166,-2.2720654774644313e-16,0.11692431102200113,0.5,0.0,0.19,-2.572664874381508e-16,1.7628,-7.44606627991533e-17,-0.0698,1.7218709903417926e-17,-0.0175,-1.0235776262104136e-17,0.0,0.0,0.5
92,0.09430113242559482,0.5596040875875166,-5.845148004092798e-17,0.11692431102200113,0.5,0.0,0.19,-1.8890490491954573e-16,1.7628,-6.302992752087987e-17,-0.0698,4.147667231499484e-17,-0.0175,-1.023577626210433e-17,0.0,0.0,0.5
93,0.09430113242559482,0.5596040875875166,-5.942997177236115e-17,0.11692431102200113,0.5,0.0,0.19,-2.1451479632887483e-16,1.7628,-7.489043335643351e-17,-0.0698,5.1059278593110707e-17,-0.0175,-1.0540006379511616e-17,0.0,0.0,0.5
94,0.09430113242559482,0.5596040875875166,-6.042483680270179e-17,0.11692431102200113,0.5,0.0,0.19,-2.397791311430532e-16,1.7628,-8.694940342116858e-17,-0.0698,6.123075778074729e-17,-0.0175,-1.1222279503066408e-17,0.0,0.0,0.5
95,0.09430113242559482,0.5596040875875166,-2.291308307377437e-16,0.11692431102200113,0.5,0.0,0.19,-2.648990579887281e-16,1.7628,-9.778530511794764e-17,-0.0698,7.184442274184994e-17,-0.0175,-1.1904552626621201e-17,0.0,0.0,0.5
96,0.09430113242559482,0.5596040875875166,-6.032171943105941e-17,0.11692431102200113,0.5,0.0,0.19,-1.9528190675498817e-16,1.7628,-8.569949588610941e-17,-0.0698,9.71355244943763e-17,-0.0175,-1.2208782744028645e-17,0.0,0.0,0.5
97,0.09430113242559482,0.5596040875875166,-6.120617324861519e-17,0.11692431102200113,0.5,0.0,0.19,-2.1978945932282774e-16,1.7628,-9.642014822011883e-17,-0.0698,1.0784342406487199e-16,-0.0175,-1.2891055867583438e-17,0.0,0.0,0.5
98,0.09430113242559482,0.5596040875875166,-6.206965990453784e-17,0.11692431102200113,0.5,0.0,0.19,-2.4405918093146907e-16,1.7628,-1.0688665314039342e-16,-0.0698,1.190078857132526e-16,-0.0175,-1.357332899113823e-17,0.0,0.0,0.5
99,0.09430113242559482,0.5596040875875166,-2.307244260469709e-16,0.11692431102200113,0.5,0.0,0.19,-2.6810489324778927e-16,1.7628,-1.1710161189645926e-16,-0.0698,1.3062678250599653e-16,-0.0175,-1.4255602114693025e-17,0.0,0.0,0.5
100,0.09430113242559483,0.5596040875875166,-4.011501502252578e-17,0.11692431102200111,0.5,0.0,0.19,-1.9731922152478955e-16,1.7628,-1.050593843851613e-16,-0.0698,1.5693762826942567e-16,-0.0175,-1.4255602114693222e-17,0.0,0.0,0.5
101,0.09430113242559483,0.5596040875875166,-4.150443923332139e-17,0.11692431102200111,0.5,0.0,0.19,-2.4053241415585567e-16,1.7628,-1.219008899705628e-16,-0.0698,1.6092910691924052e-16,-0.0175,-1.425560211469324e-17,0.0,0.0,0.5
102,0.09430113242559482,0.5596040875875166,-2.1555246148262988e-16,0.11692431102200113,0.5,0.0,0.19,-2.834965891464211e-16,1.7628,-1.3827675537541283e-16,-0.0698,1.6579883279453657e-16,-0.0175,-1.425560211469326e-17,0.0,0.0,0.5
103,0.09430113242559483,0.5596040875875166,-4.1879861731138896e-17,0.11692431102200111,0.5,0.0,0.19,-2.1307604461792437e-16,1.7628,-1.2645146570168403e-16,-0.0698,1.8902570435164577e-16,-0.0175,-1.3951371997286198e-17,0.0,0.0,0.5
